name,price,description,prices,dimensions,mechanicalProperties,chemistryInformation,weight_lineal_foot,detail_url
"0.5"" x 0.5"" x 0.062"" Aluminum Angle 6063-T52 - ","
                        $2.46
                        ea.
                      ","Aluminum Angle 6063-T52 offers exceptional corrosion resistance, light weight, and good formability. 6063 is more easily formable and much more corrosion resistant than 6061, but it is only about half as strong. 6063-T52 is typically used in applications where corrosion resistance and aesthetic are more important than strength, such as piping, furniture, and decorative applications.","[{'size': '12""\n                                                             \n                                    \n                                                               (1\xa0ft.)', 'price': '$2.46', 'weight': 'wt.\xa00.07\xa0lb.'}, {'size': '24""\n                                                             \n                                    \n                                                               (2\xa0ft.)', 'price': '$4.78', 'weight': 'wt.\xa00.14\xa0lb.'}, {'size': '36""\n                                                             \n                                    \n                                                               (3\xa0ft.)', 'price': '$6.68', 'weight': 'wt.\xa00.21\xa0lb.'}, {'size': '48""\n                                                             \n                                    \n                                                               (4\xa0ft.)', 'price': '$8.25', 'weight': 'wt.\xa00.28\xa0lb.'}, {'size': '72""\n                                                             \n                                    \n                                                               (6\xa0ft.)', 'price': '$11.74', 'weight': 'wt.\xa00.42\xa0lb.'}, {'size': '96""\n                                                             \n                                    \n                                                               (8\xa0ft.)', 'price': '$15.16', 'weight': 'wt.\xa00.56\xa0lb.'}, {'size': '192""\n                                                             \n                                    \n                                                               (16\xa0ft.)', 'price': '$29.26', 'weight': 'wt.\xa01.12\xa0lb.'}, {'size': None, 'price': None, 'weight': None}]","[{'name': 'Legs', 'specification': '0.5"" x 0.5""'}, {'name': 'Thickness', 'specification': '0.062'}, {'name': 'Max Length', 'specification': '192'}, {'name': 'MTR Availability', 'specification': 'No'}, {'name': 'Material', 'specification': 'Aluminum'}, {'name': 'Shape', 'specification': 'Angle'}, {'name': 'Custom Cut Warehouse', 'specification': '1'}, {'name': 'Alloy', 'specification': '6063'}, {'name': 'Temper', 'specification': 'T52'}, {'name': 'Shape Type', 'specification': 'Architectural'}]","[{'property': 'Property', 'value': 'Value'}, {'property': 'Density\xa0g/cm^3', 'value': '3'}, {'property': 'Ultimate Tensile Strength\xa0KSI', 'value': '27'}, {'property': 'Yield Tensile Strength\xa0KSI', 'value': '21'}, {'property': 'Elongation\xa0% in 2 in.', 'value': '12'}, {'property': 'Rockwell Hardness\xa0B Scale', 'value': '17'}, {'property': 'Melting Point\xa0°F', 'value': '1140 - 1210'}, {'property': 'Brinell Hardness\xa0500 kg load', 'value': '60'}, {'property': 'Shear Strength\xa0KSI', 'value': '15'}]","[{'element': 'Element', 'percentage': 'Percentage'}, {'element': 'Mg', 'percentage': '0.45 - 0.9'}, {'element': 'Al', 'percentage': '98.9'}, {'element': 'Cr', 'percentage': '0.1\xa0max'}, {'element': 'Cu', 'percentage': '0.1\xa0max'}, {'element': 'Fe', 'percentage': '0.35\xa0max'}, {'element': 'Mn', 'percentage': '0.1\xa0max'}, {'element': 'Si', 'percentage': '0.2 - 0.6'}, {'element': 'Ti', 'percentage': '0.1\xa0max'}, {'element': 'Zn', 'percentage': '0.1\xa0max'}]",0.07 pounds,https://www.onlinemetals.com/en/buy/aluminum/0-5-x-0-5-x-0-062-aluminum-angle-6063-t52/pid/17854
"0.5"" x 0.5"" x 0.125"" Aluminum Angle 6063-T52 - ","
                        $2.88
                        ea.
                      ","Aluminum Angle 6063-T52 offers exceptional corrosion resistance, light weight, and good formability. 6063 is more easily formable and much more corrosion resistant than 6061, but it is only about half as strong. 6063-T52 is typically used in applications where corrosion resistance and aesthetic are more important than strength, such as piping, furniture, and decorative applications.","[{'size': '12""\n                                                             \n                                    \n                                                               (1\xa0ft.)', 'price': '$2.88', 'weight': 'wt.\xa00.15\xa0lb.'}, {'size': '24""\n                                                             \n                                    \n                                                               (2\xa0ft.)', 'price': '$5.63', 'weight': 'wt.\xa00.3\xa0lb.'}, {'size': '36""\n                                                             \n                                    \n                                                               (3\xa0ft.)', 'price': '$9.31', 'weight': 'wt.\xa00.45\xa0lb.'}, {'size': '48""\n                                                             \n                                    \n                                                               (4\xa0ft.)', 'price': '$11.21', 'weight': 'wt.\xa00.6\xa0lb.'}, {'size': '72""\n                                                             \n                                    \n                                                               (6\xa0ft.)', 'price': '$14.62', 'weight': 'wt.\xa00.9\xa0lb.'}, {'size': '96""\n                                                             \n                                    \n                                                               (8\xa0ft.)', 'price': '$19.45', 'weight': 'wt.\xa01.2\xa0lb.'}, {'size': '192""\n                                                             \n                                    \n                                                               (16\xa0ft.)', 'price': '$34.96', 'weight': 'wt.\xa02.4\xa0lb.'}, {'size': None, 'price': None, 'weight': None}]","[{'name': 'Legs', 'specification': '0.5"" x 0.5""'}, {'name': 'Thickness', 'specification': '0.125'}, {'name': 'Max Length', 'specification': '192'}, {'name': 'MTR Availability', 'specification': 'Yes'}, {'name': 'Material', 'specification': 'Aluminum'}, {'name': 'Shape', 'specification': 'Angle'}, {'name': 'Custom Cut Warehouse', 'specification': '1'}, {'name': 'Alloy', 'specification': '6063'}, {'name': 'Temper', 'specification': 'T52'}, {'name': 'Production Method', 'specification': 'Extruded'}, {'name': 'Shape Type', 'specification': 'Architectural'}]","[{'property': 'Property', 'value': 'Value'}, {'property': 'Density\xa0g/cm^3', 'value': '3'}, {'property': 'Ultimate Tensile Strength\xa0KSI', 'value': '27'}, {'property': 'Yield Tensile Strength\xa0KSI', 'value': '21'}, {'property': 'Elongation\xa0% in 2 in.', 'value': '12'}, {'property': 'Rockwell Hardness\xa0B Scale', 'value': '17'}, {'property': 'Melting Point\xa0°F', 'value': '1140 - 1210'}, {'property': 'Brinell Hardness\xa0500 kg load', 'value': '60'}, {'property': 'Shear Strength\xa0KSI', 'value': '15'}]","[{'element': 'Element', 'percentage': 'Percentage'}, {'element': 'Mg', 'percentage': '0.45 - 0.9'}, {'element': 'Al', 'percentage': '98.9'}, {'element': 'Cr', 'percentage': '0.1\xa0max'}, {'element': 'Cu', 'percentage': '0.1\xa0max'}, {'element': 'Fe', 'percentage': '0.35\xa0max'}, {'element': 'Mn', 'percentage': '0.1\xa0max'}, {'element': 'Si', 'percentage': '0.2 - 0.6'}, {'element': 'Ti', 'percentage': '0.1\xa0max'}, {'element': 'Zn', 'percentage': '0.1\xa0max'}]",0.15 pounds,https://www.onlinemetals.com/en/buy/aluminum/0-5-x-0-5-x-0-125-aluminum-angle-6063-t52/pid/1014
"0.625"" x 0.625"" x 0.125"" Aluminum Angle 6063-T52 - ","
                        $2.76
                        ea.
                      ","Aluminum Angle 6063-T52 offers exceptional corrosion resistance, light weight, and good formability. 6063 is more easily formable and much more corrosion resistant than 6061, but it is only about half as strong. 6063-T52 is typically used in applications where corrosion resistance and aesthetic are more important than strength, such as piping, furniture, and decorative applications.","[{'size': '12""\n                                                             \n                                    \n                                                               (1\xa0ft.)', 'price': '$2.76', 'weight': 'wt.\xa00.17\xa0lb.'}, {'size': '24""\n                                                             \n                                    \n                                                               (2\xa0ft.)', 'price': '$4.56', 'weight': 'wt.\xa00.34\xa0lb.'}, {'size': '36""\n                                                             \n                                    \n                                                               (3\xa0ft.)', 'price': '$6.93', 'weight': 'wt.\xa00.51\xa0lb.'}, {'size': '48""\n                                                             \n                                    \n                                                               (4\xa0ft.)', 'price': '$7.61', 'weight': 'wt.\xa00.68\xa0lb.'}, {'size': '72""\n                                                             \n                                    \n                                                               (6\xa0ft.)', 'price': '$11.03', 'weight': 'wt.\xa01.02\xa0lb.'}, {'size': '96""\n                                                             \n                                    \n                                                               (8\xa0ft.)', 'price': '$14.16', 'weight': 'wt.\xa01.36\xa0lb.'}, {'size': '120""\n                                                             \n                                    \n                                                               (10\xa0ft.)', 'price': '$18.10', 'weight': 'wt.\xa01.7\xa0lb.'}, {'size': '144""\n                                                             \n                                    \n                                                               (12\xa0ft.)', 'price': '$23.45', 'weight': 'wt.\xa02.04\xa0lb.'}, {'size': '192""\n                                                             \n                                    \n                                                               (16\xa0ft.)', 'price': '$26.18', 'weight': 'wt.\xa02.72\xa0lb.'}, {'size': None, 'price': None, 'weight': None}]","[{'name': 'Legs', 'specification': '0.625"" x 0.625""'}, {'name': 'Thickness', 'specification': '0.125'}, {'name': 'Max Length', 'specification': '192'}, {'name': 'MTR Availability', 'specification': 'Yes'}, {'name': 'Material', 'specification': 'Aluminum'}, {'name': 'Shape', 'specification': 'Angle'}, {'name': 'Custom Cut Warehouse', 'specification': '1'}, {'name': 'Alloy', 'specification': '6063'}, {'name': 'Temper', 'specification': 'T52'}, {'name': 'Production Method', 'specification': 'Extruded'}, {'name': 'Shape Type', 'specification': 'Architectural'}]","[{'property': 'Property', 'value': 'Value'}, {'property': 'Density\xa0g/cm^3', 'value': '3'}, {'property': 'Ultimate Tensile Strength\xa0KSI', 'value': '27'}, {'property': 'Yield Tensile Strength\xa0KSI', 'value': '21'}, {'property': 'Elongation\xa0% in 2 in.', 'value': '12'}, {'property': 'Rockwell Hardness\xa0B Scale', 'value': '17'}, {'property': 'Melting Point\xa0°F', 'value': '1140 - 1210'}, {'property': 'Brinell Hardness\xa0500 kg load', 'value': '60'}, {'property': 'Shear Strength\xa0KSI', 'value': '15'}]","[{'element': 'Element', 'percentage': 'Percentage'}, {'element': 'Mg', 'percentage': '0.45 - 0.9'}, {'element': 'Al', 'percentage': '98.9'}, {'element': 'Cr', 'percentage': '0.1\xa0max'}, {'element': 'Cu', 'percentage': '0.1\xa0max'}, {'element': 'Fe', 'percentage': '0.35\xa0max'}, {'element': 'Mn', 'percentage': '0.1\xa0max'}, {'element': 'Si', 'percentage': '0.2 - 0.6'}, {'element': 'Ti', 'percentage': '0.1\xa0max'}, {'element': 'Zn', 'percentage': '0.1\xa0max'}]",0.17 pounds,https://www.onlinemetals.com/en/buy/aluminum/0-625-x-0-625-x-0-125-aluminum-angle-6063-t52/pid/27564
"0.75"" x 0.75"" x 0.062"" Aluminum Angle 6063-T52 - ","
                        $3.79
                        ea.
                      ","Aluminum Angle 6063-T52 offers exceptional corrosion resistance, light weight, and good formability. 6063 is more easily formable and much more corrosion resistant than 6061, but it is only about half as strong. 6063-T52 is typically used in applications where corrosion resistance and aesthetic are more important than strength, such as piping, furniture, and decorative applications.","[{'size': '12""\n                                                             \n                                    \n                                                               (1\xa0ft.)', 'price': '$3.79', 'weight': 'wt.\xa00.11\xa0lb.'}, {'size': '24""\n                                                             \n                                    \n                                                               (2\xa0ft.)', 'price': '$7.37', 'weight': 'wt.\xa00.22\xa0lb.'}, {'size': '36""\n                                                             \n                                    \n                                                               (3\xa0ft.)', 'price': '$9.03', 'weight': 'wt.\xa00.33\xa0lb.'}, {'size': '48""\n                                                             \n                                    \n                                                               (4\xa0ft.)', 'price': '$13.20', 'weight': 'wt.\xa00.44\xa0lb.'}, {'size': '72""\n                                                             \n                                    \n                                                               (6\xa0ft.)', 'price': '$17.77', 'weight': 'wt.\xa00.66\xa0lb.'}, {'size': '96""\n                                                             \n                                    \n                                                               (8\xa0ft.)', 'price': '$23.94', 'weight': 'wt.\xa00.88\xa0lb.'}, {'size': '192""\n                                                             \n                                    \n                                                               (16\xa0ft.)', 'price': '$50.58', 'weight': 'wt.\xa01.76\xa0lb.'}, {'size': None, 'price': None, 'weight': None}]","[{'name': 'Legs', 'specification': '0.75"" x 0.75""'}, {'name': 'Thickness', 'specification': '0.062'}, {'name': 'Max Length', 'specification': '192'}, {'name': 'MTR Availability', 'specification': 'Yes'}, {'name': 'Material', 'specification': 'Aluminum'}, {'name': 'Shape', 'specification': 'Angle'}, {'name': 'Custom Cut Warehouse', 'specification': '1'}, {'name': 'Alloy', 'specification': '6063'}, {'name': 'Temper', 'specification': 'T52'}, {'name': 'Shape Type', 'specification': 'Architectural'}]","[{'property': 'Property', 'value': 'Value'}, {'property': 'Density\xa0g/cm^3', 'value': '3'}, {'property': 'Ultimate Tensile Strength\xa0KSI', 'value': '27'}, {'property': 'Yield Tensile Strength\xa0KSI', 'value': '21'}, {'property': 'Elongation\xa0% in 2 in.', 'value': '12'}, {'property': 'Rockwell Hardness\xa0B Scale', 'value': '17'}, {'property': 'Melting Point\xa0°F', 'value': '1140 - 1210'}, {'property': 'Brinell Hardness\xa0500 kg load', 'value': '60'}, {'property': 'Shear Strength\xa0KSI', 'value': '15'}]","[{'element': 'Element', 'percentage': 'Percentage'}, {'element': 'Mg', 'percentage': '0.45 - 0.9'}, {'element': 'Al', 'percentage': '98.9'}, {'element': 'Cr', 'percentage': '0.1\xa0max'}, {'element': 'Cu', 'percentage': '0.1\xa0max'}, {'element': 'Fe', 'percentage': '0.35\xa0max'}, {'element': 'Mn', 'percentage': '0.1\xa0max'}, {'element': 'Si', 'percentage': '0.2 - 0.6'}, {'element': 'Ti', 'percentage': '0.1\xa0max'}, {'element': 'Zn', 'percentage': '0.1\xa0max'}]",0.11 pounds,https://www.onlinemetals.com/en/buy/aluminum/0-75-x-0-75-x-0-062-aluminum-angle-6063-t52/pid/17855
"0.75"" x 0.75"" x 0.125"" Aluminum Angle 6061-T6 - ","
                        $1.50
                        ea.
                      ","Aluminum Angle 6061-T6 exhibits above average corrosion resistance, good machinability, high strength, light weight, good weldability, and the ability to be heat treated for even higher strength, all at an affordable price. 6061 is the most commonly used aluminum alloy in the world due to its positive characteristics. It is typically used in aerospace, automotive, cameras, couplings, marine hardware, electrical components, decorative hardware, structural applications, pins, brakes, pistons, valves, and bicycle frames.","[{'size': '12""\n                                                             \n                                    \n                                                               (1\xa0ft.)', 'price': '$1.50- Huge Overstock Savings-ships from GA', 'weight': 'wt.\xa00.21\xa0lb.'}, {'size': '12""\n                                                             \n                                    \n                                                               (1\xa0ft.)', 'price': '$2.17', 'weight': 'wt.\xa00.21\xa0lb.'}, {'size': '24""\n                                                             \n                                    \n                                                               (2\xa0ft.)', 'price': '$4.60', 'weight': 'wt.\xa00.42\xa0lb.'}, {'size': '36""\n                                                             \n                                    \n                                                               (3\xa0ft.)', 'price': '$6.33', 'weight': 'wt.\xa00.63\xa0lb.'}, {'size': '48""\n                                                             \n                                    \n                                                               (4\xa0ft.)', 'price': '$7.52', 'weight': 'wt.\xa00.84\xa0lb.'}, {'size': '72""\n                                                             \n                                    \n                                                               (6\xa0ft.)', 'price': '$10.67', 'weight': 'wt.\xa01.26\xa0lb.'}, {'size': '96""\n                                                             \n                                    \n                                                               (8\xa0ft.)', 'price': '$12.40', 'weight': 'wt.\xa01.68\xa0lb.'}, {'size': '300""\n                                                             \n                                    \n                                                               (25\xa0ft.)', 'price': '$41.22', 'weight': 'wt.\xa05.25\xa0lb.'}, {'size': None, 'price': None, 'weight': None}]","[{'name': 'Legs', 'specification': '0.75"" x 0.75""'}, {'name': 'Thickness', 'specification': '0.125'}, {'name': 'Inside Radius', 'specification': '0.125'}, {'name': 'Leg Radius', 'specification': '0.94'}, {'name': 'Max Length', 'specification': '300'}, {'name': 'MTR Availability', 'specification': 'Yes'}, {'name': 'Full Length', 'specification': 'true'}, {'name': 'Material', 'specification': 'Aluminum'}, {'name': 'Shape', 'specification': 'Angle'}, {'name': 'Custom Cut Warehouse', 'specification': '1'}, {'name': 'Alloy', 'specification': '6061'}, {'name': 'Temper', 'specification': 'T6'}, {'name': 'Production Method', 'specification': 'Extruded'}, {'name': 'Shape Type', 'specification': 'Structural'}]","[{'property': 'Property', 'value': 'Value'}, {'property': 'Density\xa0g/cm^3', 'value': '3'}, {'property': 'Yield Tensile Strength\xa0KSI', 'value': '40'}, {'property': 'Brinell Hardness\xa0500 kg load', 'value': '95'}, {'property': 'Ultimate Tensile Strength\xa0KSI', 'value': '45'}, {'property': 'Elongation\xa0% in 2 in.', 'value': '12'}, {'property': 'Rockwell Hardness\xa0B Scale', 'value': '60'}, {'property': 'Machinability\xa0%', 'value': '50'}, {'property': 'Melting Point\xa0°F', 'value': '1080 - 1205'}, {'property': 'Electrical Conductivity\xa0% IACS', 'value': '43'}, {'property': 'Shear Strength\xa0KSI', 'value': '30'}]","[{'element': 'Element', 'percentage': 'Percentage'}, {'element': 'Al', 'percentage': '98'}, {'element': 'Cr', 'percentage': '0.04 - 0.35'}, {'element': 'Cu', 'percentage': '0.15 - 0.4'}, {'element': 'Fe', 'percentage': '0.7\xa0max'}, {'element': 'Mg', 'percentage': '0.8 - 1.2'}, {'element': 'Mn', 'percentage': '0.15\xa0max'}, {'element': 'Si', 'percentage': '0.4 - 0.8'}, {'element': 'Ti', 'percentage': '0.15\xa0max'}, {'element': 'Zn', 'percentage': '0.25\xa0max'}]",0.21 pounds,https://www.onlinemetals.com/en/buy/aluminum/0-75-x-0-75-x-0-125-aluminum-angle-6061-t6-extruded-structural/pid/970
,,,[],[],[],[],,https://www.onlinemetals.com/buy/aluminum/0-75-x-0-75-x-0-125-aluminum-angle-6061-t6-300-length-195pc-min/pid/28683
"0.75"" x 0.75"" x 0.125"" Aluminum Angle 6061-T6 300"" Length - 195pc. Min - ",,"1/4 inch Aluminum Rectangle Bar 6061-T6511 Extruded exhibits above average corrosion resistance, good machinability, high strength, light weight, good weldability, and the ability to be heat treated for even higher strength, all at an affordable price. 6061 is the most commonly used aluminum alloy in the world due to its positive characteristics. It is typically used in aerospace, automotive, cameras, couplings, marine hardware, electrical components, decorative hardware, structural applications, pins, brakes, pistons, valves, and bicycle frames.",[],"[{'name': 'Legs', 'specification': '0.75"" x 0.75""'}, {'name': 'Thickness', 'specification': '0.125'}, {'name': 'Inside Radius', 'specification': '0.125'}, {'name': 'Leg Radius', 'specification': '0.094'}, {'name': 'Max Length', 'specification': '300'}, {'name': 'Alloy', 'specification': '6061'}, {'name': 'Temper', 'specification': 'T6'}, {'name': 'Production Method', 'specification': 'Extruded'}, {'name': 'Shape Type', 'specification': 'Structural'}, {'name': 'MTR Availability', 'specification': 'No'}, {'name': 'Full Length', 'specification': 'true'}, {'name': 'Material', 'specification': 'Aluminum'}, {'name': 'Shape', 'specification': 'Angle'}, {'name': 'Custom Cut Warehouse', 'specification': '0'}]","[{'property': 'Property', 'value': 'Value'}, {'property': 'Ultimate Tensile Strength\xa0KSI', 'value': '45'}, {'property': 'Yield Tensile Strength\xa0KSI', 'value': '40'}, {'property': 'Density\xa0g/cm^3', 'value': '3'}, {'property': 'Brinell Hardness\xa0500 kg load', 'value': '95'}, {'property': 'Rockwell Hardness\xa0B Scale', 'value': '60'}, {'property': 'Elongation\xa0% in 2 in.', 'value': '12'}, {'property': 'Shear Strength\xa0KSI', 'value': '30'}, {'property': 'Melting Point\xa0°F', 'value': '1080 - 1205'}, {'property': 'Machinability\xa0%', 'value': '50'}, {'property': 'Electrical Conductivity\xa0% IACS', 'value': '43'}]","[{'element': 'Element', 'percentage': 'Percentage'}, {'element': 'Al', 'percentage': '98'}, {'element': 'Cr', 'percentage': '0.04 - 0.35'}, {'element': 'Cu', 'percentage': '0.15 - 0.4'}, {'element': 'Fe', 'percentage': '0.7\xa0max'}, {'element': 'Mg', 'percentage': '0.8 - 1.2'}, {'element': 'Mn', 'percentage': '0.15\xa0max'}, {'element': 'Si', 'percentage': '0.4 - 0.8'}, {'element': 'Ti', 'percentage': '0.15\xa0max'}, {'element': 'Zn', 'percentage': '0.25\xa0max'}]",1000.0 pounds,https://www.onlinemetals.com/buy/aluminum/0-75-x-0-75-x-0-125-aluminum-angle-6061-t6-300-length-195pc-min/pid/28683
"0.75"" x 0.75"" x 0.125"" Aluminum Angle 6063-T52 - ","
                        $3.55
                        ea.
                      ","Aluminum Angle 6063-T52 offers exceptional corrosion resistance, light weight, and good formability. 6063 is more easily formable and much more corrosion resistant than 6061, but it is only about half as strong. 6063-T52 is typically used in applications where corrosion resistance and aesthetic are more important than strength, such as piping, furniture, and decorative applications.","[{'size': '12""\n                                                             \n                                    \n                                                               (1\xa0ft.)', 'price': '$3.55', 'weight': 'wt.\xa00.21\xa0lb.'}, {'size': '24""\n                                                             \n                                    \n                                                               (2\xa0ft.)', 'price': '$6.43', 'weight': 'wt.\xa00.42\xa0lb.'}, {'size': '36""\n                                                             \n                                    \n                                                               (3\xa0ft.)', 'price': '$8.74', 'weight': 'wt.\xa00.63\xa0lb.'}, {'size': '48""\n                                                             \n                                    \n                                                               (4\xa0ft.)', 'price': '$11.10', 'weight': 'wt.\xa00.84\xa0lb.'}, {'size': '72""\n                                                             \n                                    \n                                                               (6\xa0ft.)', 'price': '$14.72', 'weight': 'wt.\xa01.26\xa0lb.'}, {'size': '96""\n                                                             \n                                    \n                                                               (8\xa0ft.)', 'price': '$20.07', 'weight': 'wt.\xa01.68\xa0lb.'}, {'size': '192""\n                                                             \n                                    \n                                                               (16\xa0ft.)', 'price': '$50.60', 'weight': 'wt.\xa03.36\xa0lb.'}, {'size': None, 'price': None, 'weight': None}]","[{'name': 'Legs', 'specification': '0.75"" x 0.75""'}, {'name': 'Thickness', 'specification': '0.125'}, {'name': 'Max Length', 'specification': '192'}, {'name': 'MTR Availability', 'specification': 'Yes'}, {'name': 'Material', 'specification': 'Aluminum'}, {'name': 'Shape', 'specification': 'Angle'}, {'name': 'Custom Cut Warehouse', 'specification': '1'}, {'name': 'Alloy', 'specification': '6063'}, {'name': 'Temper', 'specification': 'T52'}, {'name': 'Production Method', 'specification': 'Extruded'}, {'name': 'Shape Type', 'specification': 'Architectural'}]","[{'property': 'Property', 'value': 'Value'}, {'property': 'Density\xa0g/cm^3', 'value': '3'}, {'property': 'Ultimate Tensile Strength\xa0KSI', 'value': '27'}, {'property': 'Yield Tensile Strength\xa0KSI', 'value': '21'}, {'property': 'Elongation\xa0% in 2 in.', 'value': '12'}, {'property': 'Rockwell Hardness\xa0B Scale', 'value': '17'}, {'property': 'Melting Point\xa0°F', 'value': '1140 - 1210'}, {'property': 'Brinell Hardness\xa0500 kg load', 'value': '60'}, {'property': 'Shear Strength\xa0KSI', 'value': '15'}]","[{'element': 'Element', 'percentage': 'Percentage'}, {'element': 'Mg', 'percentage': '0.45 - 0.9'}, {'element': 'Al', 'percentage': '98.9'}, {'element': 'Cr', 'percentage': '0.1\xa0max'}, {'element': 'Cu', 'percentage': '0.1\xa0max'}, {'element': 'Fe', 'percentage': '0.35\xa0max'}, {'element': 'Mn', 'percentage': '0.1\xa0max'}, {'element': 'Si', 'percentage': '0.2 - 0.6'}, {'element': 'Ti', 'percentage': '0.1\xa0max'}, {'element': 'Zn', 'percentage': '0.1\xa0max'}]",0.21 pounds,https://www.onlinemetals.com/en/buy/aluminum/0-75-x-0-75-x-0-125-aluminum-angle-6063-t52/pid/1015
"0.75"" x 0.75"" x 0.125"" Aluminum Angle 6063-T52 192"" Length - 312pc. Min - ",,"Aluminum Angle 6061-T6 exhibits above average corrosion resistance, good machinability, high strength, light weight, good weldability, and the ability to be heat treated for even higher strength, all at an affordable price. 6061 is the most commonly used aluminum alloy in the world due to its positive characteristics. It is typically used in aerospace, automotive, cameras, couplings, marine hardware, electrical components, decorative hardware, structural applications, pins, brakes, pistons, valves, and bicycle frames.",[],"[{'name': 'Legs', 'specification': '0.75"" x 0.75""'}, {'name': 'Thickness', 'specification': '0.125'}, {'name': 'Max Length', 'specification': '192'}, {'name': 'Alloy', 'specification': '6063'}, {'name': 'Temper', 'specification': 'T52'}, {'name': 'Production Method', 'specification': 'Extruded'}, {'name': 'MTR Availability', 'specification': 'No'}, {'name': 'Full Length', 'specification': 'true'}, {'name': 'Material', 'specification': 'Aluminum'}, {'name': 'Shape', 'specification': 'Angle'}, {'name': 'Custom Cut Warehouse', 'specification': '0'}]",[],"[{'element': 'Element', 'percentage': 'Percentage'}, {'element': 'Mg', 'percentage': '0.45 - 0.9'}, {'element': 'Al', 'percentage': '98.9'}, {'element': 'Cr', 'percentage': '0.1\xa0max'}, {'element': 'Cu', 'percentage': '0.1\xa0max'}, {'element': 'Fe', 'percentage': '0.35\xa0max'}, {'element': 'Mn', 'percentage': '0.1\xa0max'}, {'element': 'Si', 'percentage': '0.2 - 0.6'}, {'element': 'Ti', 'percentage': '0.1\xa0max'}, {'element': 'Zn', 'percentage': '0.1\xa0max'}]",1008.0 pounds,https://www.onlinemetals.com/buy/aluminum/0-75-x-0-75-x-0-125-aluminum-angle-6063-t52-192-length-312pc-min/pid/28707
"1"" x 0.5"" x 0.125"" Aluminum Angle 6063-T52 - ","
                        $3.21
                        ea.
                      ","Aluminum Angle 6063-T52 offers exceptional corrosion resistance, light weight, and good formability. 6063 is more easily formable and much more corrosion resistant than 6061, but it is only about half as strong. 6063-T52 is typically used in applications where corrosion resistance and aesthetic are more important than strength, such as piping, furniture, and decorative applications.","[{'size': '12""\n                                                             \n                                    \n                                                               (1\xa0ft.)', 'price': '$3.21', 'weight': 'wt.\xa00.2\xa0lb.'}, {'size': '24""\n                                                             \n                                    \n                                                               (2\xa0ft.)', 'price': '$5.54', 'weight': 'wt.\xa00.4\xa0lb.'}, {'size': '36""\n                                                             \n                                    \n                                                               (3\xa0ft.)', 'price': '$7.63', 'weight': 'wt.\xa00.6\xa0lb.'}, {'size': '48""\n                                                             \n                                    \n                                                               (4\xa0ft.)', 'price': '$9.54', 'weight': 'wt.\xa00.8\xa0lb.'}, {'size': '72""\n                                                             \n                                    \n                                                               (6\xa0ft.)', 'price': '$13.46', 'weight': 'wt.\xa01.2\xa0lb.'}, {'size': '96""\n                                                             \n                                    \n                                                               (8\xa0ft.)', 'price': '$16.55', 'weight': 'wt.\xa01.6\xa0lb.'}, {'size': '192""\n                                                             \n                                    \n                                                               (16\xa0ft.)', 'price': '$31.24', 'weight': 'wt.\xa03.2\xa0lb.'}, {'size': None, 'price': None, 'weight': None}]","[{'name': 'Legs', 'specification': '1"" x 0.5""'}, {'name': 'Thickness', 'specification': '0.125'}, {'name': 'Max Length', 'specification': '192'}, {'name': 'MTR Availability', 'specification': 'Yes'}, {'name': 'Material', 'specification': 'Aluminum'}, {'name': 'Shape', 'specification': 'Angle'}, {'name': 'Custom Cut Warehouse', 'specification': '1'}, {'name': 'Alloy', 'specification': '6063'}, {'name': 'Temper', 'specification': 'T52'}, {'name': 'Shape Type', 'specification': 'Architectural'}]","[{'property': 'Property', 'value': 'Value'}, {'property': 'Density\xa0g/cm^3', 'value': '3'}, {'property': 'Ultimate Tensile Strength\xa0KSI', 'value': '27'}, {'property': 'Yield Tensile Strength\xa0KSI', 'value': '21'}, {'property': 'Elongation\xa0% in 2 in.', 'value': '12'}, {'property': 'Rockwell Hardness\xa0B Scale', 'value': '17'}, {'property': 'Melting Point\xa0°F', 'value': '1140 - 1210'}, {'property': 'Brinell Hardness\xa0500 kg load', 'value': '60'}, {'property': 'Shear Strength\xa0KSI', 'value': '15'}]","[{'element': 'Element', 'percentage': 'Percentage'}, {'element': 'Mg', 'percentage': '0.45 - 0.9'}, {'element': 'Al', 'percentage': '98.9'}, {'element': 'Cr', 'percentage': '0.1\xa0max'}, {'element': 'Cu', 'percentage': '0.1\xa0max'}, {'element': 'Fe', 'percentage': '0.35\xa0max'}, {'element': 'Mn', 'percentage': '0.1\xa0max'}, {'element': 'Si', 'percentage': '0.2 - 0.6'}, {'element': 'Ti', 'percentage': '0.1\xa0max'}, {'element': 'Zn', 'percentage': '0.1\xa0max'}]",0.2 pounds,https://www.onlinemetals.com/en/buy/aluminum/0-5-x-1-x-0-125-aluminum-angle-6063-t52/pid/23424
